Rank	Word	Count	Frequency
957	asking	21	0.000108
958	jack	21	0.000108
959	ended	21	0.000108
960	lest	21	0.000108
961	itself	21	0.000108
962	ah	21	0.000108
963	middle	21	0.000108
964	rage	21	0.000108
965	refuse	21	0.000108
966	cold	21	0.000108
967	composed	21	0.000108
968	eye	21	0.000108
969	silent	21	0.000108
970	former	21	0.000108
971	rival	21	0.000108
972	evidence	21	0.000108
973	captains	21	0.000108
974	fall	21	0.000108
975	rose	21	0.000108
976	expedient	21	0.000108
977	died	21	0.000108
978	blessed	21	0.000108
979	impatience	21	0.000108
980	discovery	21	0.000108
981	gentlewoman	21	0.000108
982	states	20	0.000103
983	copy	20	0.000103
984	wit	20	0.000103
985	dignity	20	0.000103
986	drew	20	0.000103
987	mirth	20	0.000103
988	possibly	20	0.000103
989	ears	20	0.000103
990	stand	20	0.000103
991	judge	20	0.000103
992	fathers	20	0.000103
993	unfortunate	20	0.000103
994	knees	20	0.000103
995	confirmed	20	0.000103
996	concerned	20	0.000103
997	supported	20	0.000103
998	owing	20	0.000103
999	asleep	20	0.000103
1000	remain	20	0.000103
1001	female	20	0.000103
1002	doing	20	0.000103
1003	strong	20	0.000103
1004	shirt	20	0.000103
1005	forward	20	0.000103
1006	absence	20	0.000103
1007	dye	20	0.000103
1008	surrounded	20	0.000103
1009	provide	20	0.000103
1010	joined	20	0.000103
1011	tone	20	0.000103
1012	heartily	20	0.000103
1013	demand	20	0.000103
1014	barber	20	0.000103
1015	protested	20	0.000103
1016	discharged	20	0.000103
1017	bad	20	0.000103
1018	fixed	20	0.000103
1019	safe	20	0.000103
1020	thither	20	0.000103
1021	concluded	20	0.000103
1022	whatever	20	0.000103
1023	assuring	20	0.000103
1024	severe	20	0.000103
1025	perform	20	0.000103
1026	lately	20	0.000103
1027	maid	20	0.000103
1028	convenience	20	0.000103
1029	foot	20	0.000103
1030	run	20	0.000103
1031	changed	20	0.000103
1032	desperate	20	0.000103
1033	ask	20	0.000103
1034	cringer	20	0.000103
1035	examined	20	0.000103
1036	entertain	20	0.000103
1037	de	20	0.000103
1038	entertaining	19	0.000098
1039	humour	19	0.000098
1040	tragedy	19	0.000098
1041	execution	19	0.000098
1042	scene	19	0.000098
1043	compassion	19	0.000098
1044	misfortunes	19	0.000098
1045	arrival	19	0.000098
1046	colour	19	0.000098
1047	form	19	0.000098
1048	insolence	19	0.000098
1049	art	19	0.000098
1050	grandfather	19	0.000098
1051	land	19	0.000098
1052	veneration	19	0.000098
1053	attempt	19	0.000098
1054	wanted	19	0.000098
1055	conjecture	19	0.000098
1056	window	19	0.000098
1057	encouraged	19	0.000098
1058	silver	19	0.000098
1059	usual	19	0.000098
1060	parted	19	0.000098
1061	thats	19	0.000098
1062	mounted	19	0.000098
1063	approached	19	0.000098
1064	formerly	19	0.000098
1065	suit	19	0.000098
1066	hesitation	19	0.000098
1067	enjoy	19	0.000098
1068	reception	19	0.000098
1069	ashamed	19	0.000098
1070	quitted	19	0.000098
1071	wrote	19	0.000098
1072	address	19	0.000098
1073	guinea	19	0.000098
1074	pass	19	0.000098
1075	sound	19	0.000098
1076	directed	19	0.000098
1077	commission	19	0.000098
1078	value	19	0.000098
1079	confidence	19	0.000098
1080	seems	19	0.000098
1081	walked	19	0.000098
1082	jenny	19	0.000098
1083	sensible	19	0.000098
1084	innocence	19	0.000098
1085	season	19	0.000098
1086	explained	19	0.000098
1087	wounded	19	0.000098
1088	commander	19	0.000098
1089	earl	19	0.000098
1090	copyright	19	0.000098
1091	laws	18	0.000093
1092	reader	18	0.000093
1093	protection	18	0.000093
1094	remarkable	18	0.000093
1095	following	18	0.000093
1096	allowed	18	0.000093
1097	entertainment	18	0.000093
1098	proceed	18	0.000093
1099	conceal	18	0.000093
1100	repaired	18	0.000093
1101	fury	18	0.000093
1102	owned	18	0.000093
1103	child	18	0.000093
1104	necessaries	18	0.000093
1105	senses	18	0.000093
1106	village	18	0.000093
1107	written	18	0.000093
1108	horror	18	0.000093
1109	pistol	18	0.000093
1110	hitherto	18	0.000093
1111	twelve	18	0.000093
1112	soldiers	18	0.000093
1113	hanger	18	0.000093
1114	saluted	18	0.000093
1115	approach	18	0.000093
1116	eight	18	0.000093
1117	shilling	18	0.000093
1118	worth	18	0.000093
1119	dropped	18	0.000093
1120	miles	18	0.000093
1121	procured	18	0.000093
1122	invitation	18	0.000093
1123	disdain	18	0.000093
1124	shaking	18	0.000093
1125	wished	18	0.000093
1126	speaking	18	0.000093
1127	hired	18	0.000093
1128	recounted	18	0.000093
1129	please	18	0.000093
1130	embrace	18	0.000093
1131	shop	18	0.000093
1132	emotion	18	0.000093
1133	calling	18	0.000093
1134	comfortable	18	0.000093
1135	mistaken	18	0.000093
